file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2015-08-02T06-00-56+00-00,2936,2804608,2769909,0,2626,13,11,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T06-00-56+00-00,3179,2804608,2769909,0,2809,16,13,0,-2000,-58782,-2000,-57042,2500,-2000
2015-08-02T06-00-56+00-00,3459,2804608,2769909,0,3025,16,16,0,-1500,-58282,-1500,-56542,2500,-1500
2015-08-02T06-00-56+00-00,3730,2804608,2769909,0,3220,16,19,0,-1000,-57782,-1000,-56042,2500,-1000
2015-08-02T06-00-56+00-00,4038,2804608,2769909,0,3422,18,24,0,-500,-57282,-500,-55542,2500,-500
2015-08-02T06-00-56+00-00,4381,2804608,2769909,0,3632,20,28,0,0,-56782,0,-55042,2500,0
2015-08-02T06-00-56+00-00,12870,2804608,2769909,0,3858,20,31,0,500,-56282,500,-54542,2500,500
2015-08-02T06-00-56+00-00,22933,2804608,2769909,0,4089,20,34,0,1000,-55782,1000,-54042,2500,1000
2015-08-02T06-00-56+00-00,34560,2804608,2769909,0,4300,21,41,0,1500,-55282,1500,-53542,2500,1500
2015-08-02T06-00-56+00-00,48724,2804608,2769909,0,4558,24,50,0,2000,-54782,2000,-53042,2500,2000
2015-08-02T06-00-56+00-00,64605,2804608,2769909,0,4828,25,53,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T10-01-15+00-00,3267,2941568,2895551,0,2965,22,11,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T10-01-15+00-00,3613,2941568,2895551,0,3254,24,13,0,-2000,-58782,-2000,-57042,2500,-2000
2015-08-02T10-01-15+00-00,3922,2941568,2895551,0,3491,27,17,0,-1500,-58282,-1500,-56542,2500,-1500
2015-08-02T10-01-15+00-00,4289,2941568,2895551,0,3773,28,20,0,-1000,-57782,-1000,-56042,2500,-1000
2015-08-02T10-01-15+00-00,4667,2941568,2895551,0,4043,29,25,0,-500,-57282,-500,-55542,2500,-500
2015-08-02T10-01-15+00-00,5103,2941568,2895551,0,4345,29,31,0,0,-56782,0,-55042,2500,0
2015-08-02T10-01-15+00-00,15659,2941568,2895551,0,4633,31,33,0,500,-56282,500,-54542,2500,500
2015-08-02T10-01-15+00-00,28002,2941568,2895551,0,4893,32,37,0,1000,-55782,1000,-54042,2500,1000
2015-08-02T10-01-15+00-00,42424,2941568,2895551,0,5160,34,47,0,1500,-55282,1500,-53542,2500,1500
2015-08-02T10-01-15+00-00,59839,2941568,2895551,0,5412,35,55,0,2000,-54782,2000,-53042,2500,2000
2015-08-02T10-01-15+00-00,79055,2941568,2895551,0,5665,35,62,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T14-00-09+00-00,16888,2831402,2468979,0,15763,54,167,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T14-00-09+00-00,18070,2831402,2468979,0,16870,58,169,0,-2000,-58782,-2000,-57042,2500,-2000
2015-08-02T14-00-09+00-00,19262,2831402,2468979,0,17915,60,173,0,-1500,-58282,-1500,-56542,2500,-1500
2015-08-02T14-00-09+00-00,20399,2831402,2468979,0,18807,69,176,0,-1000,-57782,-1000,-56042,2500,-1000
2015-08-02T14-00-09+00-00,21521,2831402,2468979,0,19551,72,180,0,-500,-57282,-500,-55542,2500,-500
